Kod;Name;global_id;Latin_name;Type;Kod_okato
814;район Проспект Вернадского;58703672;rajon Prospekt Vernadskogo;3;45268581
815;район Раменки;58703673;rajon Ramenki;3;45268584
816;район Солнцево;58703674;rajon Solnczevo;3;45268588
817;район Тропарёво-Никулино;58703675;rajon Troparyovo-Nikulino;3;45268592
818;район Филёвский Парк;58703676;rajon Filyovskij Park;3;45268595
819;район Фили-Давыдково;58703677;rajon Fili-Davy'dkovo;3;45268597
820;район Очаково-Матвеевское;58703678;rajon Ochakovo-Matveevskoe;3;45268579
900;Северо-Западный административный округ;58703679;Severo-Zapadny'j administrativny'j okrug;2;45283000
901;район Куркино;58703680;rajon Kurkino;3;45283555
902;район Митино;58703681;rajon Mitino;3;45283559
903;район Покровское-Стрешнево;58703682;rajon Pokrovskoe-Streshnevo;3;45283569
904;район Северное Тушино;58703683;rajon Severnoe Tushino;3;45283573
905;район Строгино;58703684;rajon Strogino;3;45283577
906;район Хорошёво-Мнёвники;58703685;rajon Xoroshyovo-Mnyovniki;3;45283582
907;район Щукино;58703686;rajon Shhukino;3;45283587
908;район Южное Тушино;58703687;rajon Yuzhnoe Tushino;3;45283593
1000;Зеленоградский административный округ;58703688;Zelenogradskij administrativny'j okrug;2;45272000
1005;район Крюково;58703689;rajon Kryukovo;3;45272580
1009;район Матушкино;58703690;rajon Matushkino;3;45272562
1010;район Савёлки;58703691;rajon Savyolki;3;45272568
1011;район Силино;58703692;rajon Silino;3;45272572
1012;район Старое Крюково;58703693;rajon Staroe Kryukovo;3;45272576
1100;Новомосковский административный округ;58703694;Novomoskovskij administrativny'j okrug;2;45297000
1101;поселение Внуковское;58703695;poselenie Vnukovskoe;4;45297552
1102;поселение Воскресенское;58703696;poselenie Voskresenskoe;4;45297554
1103;поселение Десеновское;58703697;poselenie Desenovskoe;4;45297556
1104;поселение Кокошкино;58703698;poselenie Kokoshkino;4;45297559
1105;поселение Марушкинское;58703699;poselenie Marushkinskoe;4;45297562
1106;поселение Московский;58703700;poselenie Moskovskij;4;45297565
1107;"поселение ""Мосрентген""";58703701;"poselenie ""Mosrentgen""";4;45297568
1108;поселение Рязановское;58703702;poselenie Ryazanovskoe;4;45297571
1109;поселение Сосенское;58703703;poselenie Sosenskoe;4;45297574
1110;поселение Филимонковское;58703704;poselenie Filimonkovskoe;4;45297577
1111;поселение Щербинка;58703705;poselenie Shherbinka;4;45297581
1200;Троицкий административный округ;58703706;Troiczkij administrativny'j okrug;2;45298000
1201;поселение Вороновское;58703707;poselenie Voronovskoe;4;45298553
1202;поселение Киевский;58703708;poselenie Kievskij;4;45298555
1203;поселение Кленовское;58703709;poselenie Klenovskoe;4;45298558
1204;поселение Краснопахорское;58703710;poselenie Krasnopaxorskoe;4;45298561
1205;поселение Михайлово-Ярцевское;58703711;poselenie Mixajlovo-Yarczevskoe;4;45298564
1206;поселение Новофедоровское;58703712;poselenie Novofedorovskoe;4;45298567
1207;поселение Первомайское;58703713;poselenie Pervomajskoe;4;45298572
1208;поселение Роговское;58703714;poselenie Rogovskoe;4;45298575
1209;поселение Троицк;58703715;poselenie Troiczk;4;45298578
1210;поселение Щаповское;58703716;poselenie Shhapovskoe;4;45298583
