UM_CODE;UM_NAMEF;global_id;UM_NAMES;UM_TRANS;UM_TYPE;UM_TM;UM_TE;UM_KLADR
24279;9-я улица Новые Сады;58482677;9-я ул. Новые Сады;Devyataya ulicza Novy'e Sady';1;;811;77000000000208400
24280;улица Сайкина;58482678;ул. Сайкина;ulicza Sajkina;1;;"0515;0609";77000000000020900
24281;10-я улица Новые Сады;58482679;10-я ул. Новые Сады;Desyataya ulicza Novy'e Sady';1;;811;77000000000207600
24282;11-я улица Новые Сады;58482680;11-я ул. Новые Сады;Odinnadczataya ulicza Novy'e Sady';1;;811;77000000000207700
24283;улица Знаменские Садки;58482681;ул. Знаменские Садки;ulicza Znamenskie Sadki;1;;708;77000000000134600
24292;Салтыковская улица;58482682;Салтыковская ул.;Salty'kovskaya ulicza;1;;"0409;0412";77000000000044100
24295;улица Сальвадора Альенде;58482683;ул. Сальвадора Альенде;ulicza Sal`vadora Al`ende;1;;214;77000000000324100
24300;улица Саляма Адиля;58482684;ул. Саляма Адиля;ulicza Salyama Adilya;1;;906;77000000000255700
24310;Самаринская улица;58482685;Самаринская ул.;Samarinskaya ulicza;1;;609;77000000000255800
24312;2-я Самаринская улица;58482686;2-я Самаринская ул.;Vtoraya Samarinskaya ulicza;1;;609;77000000000381400
24330;Самаркандский бульвар;58482687;Самаркандский бульв.;Samarkandskij bul`var;8;;504;77000000000006400
24340;Самарская улица;58482688;Самарская ул.;Samarskaya ulicza;1;;105;77000000000256100
24370;Самокатная улица;58482689;Самокатная ул.;Samokatnaya ulicza;1;;507;77000000000031800
24380;Самотёчная площадь;58482690;Самотёчная пл.;Samotyochnaya ploshhad`;4;;"0105;0108";77000000000059100
24390;Самотёчная улица;58482691;Самотёчная ул.;Samotyochnaya ulicza;1;;"0105;0108";77000000000059200
24400;1-й Самотёчный переулок;58482692;1-й Самотёчный пер.;Pervy'j Samotyochny'j pereulok;2;;108;77000000000059300
24410;2-й Самотёчный переулок;58482693;2-й Самотёчный пер.;Vtoroj Samotyochny'j pereulok;2;;108;77000000000059400
24420;3-й Самотёчный переулок;58482694;3-й Самотёчный пер.;Tretij Samotyochny'j pereulok;2;;108;77000000000059500
24430;4-й Самотёчный переулок;58482695;4-й Самотёчный пер.;Chetvyorty'j Samotyochny'j pereulok;2;;108;77000000000059600
24450;улица Санникова;58482696;ул. Санникова;ulicza Sannikova;1;;311;77000000000257100
24460;Сапёрный проезд;58482697;Сапёрный пр.;Sapyorny'j proezd;3;;"0407;0411";77000000000044200
24470;Ветошный переулок;58482698;Ветошный пер.;Vetoshny'j pereulok;2;;108;77000000000707100
24475;Санаторная аллея;58482699;Санаторная аллея;Sanatornaya alleya;9;;712;77000000000381600
24478;Саранская улица;58482700;Саранская ул.;Saranskaya ulicza;1;;504;77000000000257300
24480;Саратовская улица;58482701;Саратовская ул.;Saratovskaya ulicza;1;;"0513;0514";77000000000030800
24490;1-й Саратовский проезд;58482702;1-й Саратовский пр.;Pervy'j Saratovskij proezd;3;;514;77000000000030900
24500;2-й Саратовский проезд;58482703;2-й Саратовский пр.;Vtoroj Saratovskij proezd;3;;514;77000000000031000
24510;Саринский проезд;58482704;Саринский пр.;Sarinskij proezd;3;;107;77000000000257700
24520;Сафоновская улица;58482705;Сафоновская ул.;Safonovskaya ulicza;1;;809;77000000000257800
24530;Сахалинская улица;58482706;Сахалинская ул.;Saxalinskaya ulicza;1;;406;77000000000257900
24535;проспект Академика Сахарова;58482707;просп. Академика Сахарова;prospekt Akademika Saxarova;10;;104;77000000000070000
24540;Саянская улица;58482708;Саянская ул.;Sayanskaya ulicza;1;;407;77000000000044300
24550;Театральная площадь;58482709;Театральная пл.;Teatral`naya ploshhad`;4;;108;77000000000719200
24560;Сверчков переулок;58482710;Сверчков пер.;Sverchkov pereulok;2;;102;77000000000258200
24565;улица Светланова;58482711;ул. Светланова;ulicza Svetlanova;1;;815;77000000000760300
24570;Светлогорский проезд;58482712;Светлогорский пр.;Svetlogorskij proezd;3;;908;77000000000258300
24580;Светлый проезд;58482713;Светлый пр.;Svetly'j proezd;3;;214;77000000000258400
24620;улица Алексея Свиридова;58482714;ул. Алексея Свиридова;ulicza Alekseya Sviridova;1;;819;77000000000073100
24625;площадь Свободной России;58482715;пл. Свободной России;ploshhad` Svobodnoj Rossii;4;;106;77000000000381800
24630;Свободный проспект;58482716;Свободный просп.;Svobodny'j prospekt;10;;"0407;0411";77000000000044400
24640;улица Свободы;58482717;ул. Свободы;ulicza Svobody';1;;"0903;0904;0908";77000000000258900
24650;улица Связистов;58482718;ул. Связистов;ulicza Svyazistov;1;;813;77000000000259000
24655;Святоозерская улица;58482719;Святоозерская ул.;Svyatoozerskaya ulicza;1;;409;77000000000731700
24670;Севанская улица;58482720;Севанская ул.;Sevanskaya ulicza;1;;618;77000000000052100
24675;Севастопольская площадь;58482721;Севастопольская пл.;Sevastopol`skaya ploshhad`;4;;703;77000000000381900
24680;Севастопольский проспект;58482722;Севастопольский просп.;Sevastopol`skij prospekt;10;;"0610;0703;0704;0705;0710;0712";77000000000259200
24693;Северный бульвар;58482723;Северный бульв.;Severny'j bul`var;8;;311;77000000000259300
24700;Северный проезд;58482724;Северный пр.;Severny'j proezd;3;;315;77000000000420900
24710;1-я Северная линия;58482725;1-я Северная линия;Pervaya Severnaya liniya;17;;315;77000000000707600
24711;2-я Северная линия;58482726;2-я Северная линия;Vtoraya Severnaya liniya;17;;315;77000000000707700
24712;3-я Северная линия;58482727;3-я Северная линия;Tret`ya Severnaya liniya;17;;315;77000000000707800
24713;4-я Северная линия;58482728;4-я Северная линия;Chetvyortaya Severnaya liniya;17;;315;77000000000714300
24714;5-я Северная линия;58482729;5-я Северная линия;Pyataya Severnaya liniya;17;;315;77000000000715100
24715;6-я Северная линия;58482730;6-я Северная линия;Shestaya Severnaya liniya;17;;315;77000000000720400
24716;7-я Северная линия;58482731;7-я Северная линия;Sed`maya Severnaya liniya;17;;315;77000000000707900
24717;8-я Северная линия;58482732;8-я Северная линия;Vos`maya Severnaya liniya;17;;315;77000000000710300
24718;9-я Северная линия;58482733;9-я Северная линия;Devyataya Severnaya liniya;17;;315;77000000000708100
24720;Северодвинская улица;58482734;Северодвинская ул.;Severodvinskaya ulicza;1;;314;77000000000259600
24723;1-я Северодонецкая улица;58482735;1-я Северодонецкая ул.;Pervaya Severodoneczkaya ulicza;1;;711;77000000000345400
24724;2-я Северодонецкая улица;58482736;2-я Северодонецкая ул.;Vtoraya Severodoneczkaya ulicza;1;;711;77000000000345500
24725;улица Анны Северьяновой;58482737;ул. Анны Северьяновой;ulicza Anny' Sever`yanovoj;1;;106;77000000000075300
24727;Северянинский проезд;58482738;Северянинский пр.;Severyaninskij proezd;3;;317;77000000000421000
24730;улица Седова;58482739;ул. Седова;ulicza Sedova;1;;313;77000000000259700
24740;Селезнёвская улица;58482740;Селезнёвская ул.;Seleznyovskaya ulicza;1;;108;77000000000059700
24750;Селивёрстов переулок;58482741;Селивёрстов пер.;Selivyorstov pereulok;2;;104;77000000000068200
24760;Селигерская улица;58482742;Селигерская ул.;Seligerskaya ulicza;1;;203;77000000000260000
24770;Сельскохозяйственная улица;58482743;Сельскохозяйственная ул.;Sel`skoxozyajstvennaya ulicza;1;;"0310;0311;0312;0313";77000000000260100
24780;1-й Сельскохозяйственный проезд;58482744;1-й Сельскохозяйственный пр.;Pervy'j Sel`skoxozyajstvenny'j proezd;3;;312;77000000000260200
24781;2-й Сельскохозяйственный проезд;58482745;2-й Сельскохозяйственный пр.;Vtoroj Sel`skoxozyajstvenny'j proezd;3;;312;77000000000260300
24810;Большой Кисловский переулок;58482746;Б. Кисловский пер.;Bol`shoj Kislovskij pereulok;2;;"0101;0106";77000000000721200
24815;улица Академика Семёнова;58482747;ул. Академика Семёнова;ulicza Akademika Semyonova;1;;711;77000000000427200
24820;Семёновская набережная;58482748;Семёновская наб.;Semyonovskaya naberezhnaya;5;;102;77000000000260700
24830;Семёновская площадь;58482749;Семёновская пл.;Semyonovskaya ploshhad`;4;;417;77000000000260800
24840;Большая Семёновская улица;58482750;Б. Семёновская ул.;Bol`shaya Semyonovskaya ulicza;1;;417;77000000000260500
24850;Малая Семёновская улица;58482751;М. Семёновская ул.;Malaya Semyonovskaya ulicza;1;;"0415;0417";77000000000260600
